CC(=O)N1CCc2cc(NC(=O)C3CCOCC3)ccc21 MolPort-028-410-140
CCOc1cc(S(N)(=O)=O)cc(C(F)(F)F)c1Br 313168310
CCn1c(CNCC2C(C)(C)C2(C)C)nc2ccccc21 MolPort-025-429-951
c1cc2c(cc1Cc1nc([C@H]3CN4CCCCC4CO3)no1)OCCO2 MolPort-039-696-314
Cc1cccc(CNc2ccc(NC(=O)C3CCC3)nn2)c1 MolPort-043-567-436
CCCC(CNC(=O)c1ccc2c(c1)CCO2)C(=O)O MolPort-026-760-003
Cc1c(Cl)c(CN2CCC3(CCOCC3)CC2)nn1C MolPort-042-828-501
COC(=O)CCC(N)c1ccc(Oc2ccccc2)cc1 MolPort-013-015-202
Cc1cc(Br)cc2c1nc(CC1CCCNC1)n2C MolPort-028-999-305
CC(C)c1ncsc1NC(=O)N[C@@H]1CCCN(S(=O)(=O)C2CC2)C1 MolPort-040-592-046
CCn1cc(OC2CC(O)C23CCCCCC3)cn1 MolPort-034-460-227
CCC(NC(=O)c1cnn(C2CCOCC2)c1C)c1nccs1 MolPort-040-191-619
CC1CC(Nc2ncccc2OC(C)C)C1 MolPort-033-536-909
CC1CCC(Sc2nnnn2-c2ccc(O)cc2)CC1 MolPort-021-537-056
CC(=O)n1c(C)c(C)n(S(=O)(=O)c2ccc(C)cc2)c1=O MolPort-002-789-800
CC(=O)c1cc(CN2CCCC(c3nc(C)n[nH]3)C2)n(C)c1 MolPort-035-377-660
O=C(CCN1CCOC2(CCOC2)C1)Nc1c(Cl)cccc1Cl MolPort-039-895-547
COc1cccc(C2CCCN2Cc2nn(C)c(=O)[nH]2)c1 MolPort-040-001-122
CC(=O)C(C)n1cc(C#N)c2cc3c(cc21)OCO3 MolPort-029-624-512
CCNCC1(CN2c3ccccc3CCC2C)CCCC1 MolPort-012-324-583
C[C@@H]1OCCO[C@@H]1c1nc(COc2ccccc2F)no1 MolPort-046-123-062
Cc1ccc(N2C(=O)SC(Nc3ccc(C)c(C)c3)C2=O)cc1 MolPort-000-294-532
Cc1ccncc1-c1nc(C)c2c(n1)CCNC2 MolPort-035-185-655
O=C1CN(C(=O)Cc2ccc3ccccc3c2)CCCN1 MolPort-027-608-275
COC1CCN(Cc2cccs2)C(CN)C1 MolPort-031-654-584
CN(C)CCNS(=O)(=O)c1cc(C(=O)N2CCCC2)cs1 MolPort-010-681-865
O=C(NCCCC1CCOCC1)c1ccc(Br)cc1 MolPort-037-016-061
Nc1cccc(Cn2cccc(Br)c2=O)c1C(=O)O MolPort-035-039-367
Cc1ccc(S(=O)(=O)NCC(=O)Nc2ccc(F)c(F)c2)c(C)c1 MolPort-043-527-575
CCCNC(C)c1nnc(COc2ccc(Cl)cc2)o1 MolPort-013-178-693
O=C(NCc1ccc2ccccc2n1)N1CCC2(CCNCC2)CC1 MolPort-040-757-461
CCNCc1cc(C)nc(Oc2ccc(C)cc2C)c1 MolPort-031-934-786
COc1ccc(Cl)cc1N1CCN(C(=O)C(=O)O)CC1 MolPort-008-803-778
CC1CCC(O)(CNC(=O)c2cnns2)CC1 MolPort-026-659-845
Cc1cc(C)cc(OCCC(=O)N2CCN3C(=O)NC(=O)C3C2)c1 MolPort-040-479-170
Cc1ccc(C(=O)N2CCOC(COCC3CC3)C2)c(C)n1 MolPort-040-477-259
Cc1ccc(S(=O)(=O)N[C@@H]2CC(=O)N(C3CC3)[C@H]2c2ccnn2C)cc1F MolPort-040-150-146
CC1C(=O)Nc2ccc(C(O)c3ccccc3Cl)cc21 MolPort-023-131-706
O=C(Nc1cccc(CC(F)(F)F)c1)C1CCNC1 MolPort-045-227-121
O=C(NC[C@H]1CCCC[C@H]1C(F)(F)F)c1noc2c1CCCCC2 MolPort-040-060-764
CCc1cc(Br)n(C(C)c2ccc(C)c(F)c2)n1 324456884
Cl.N#Cc1c(F)ccc([C@H](N)C2CCCCC2)c1O MolPort-028-679-278
COc1ccc(C)cc1C(N)C1C2CCCC21 MolPort-024-526-591
Cc1cn(-c2ccccc2Cl)nc1C(=O)NC1CCC(C(=O)O)CC1 MolPort-041-479-448
CC1(C(=O)O)CCN(C(=O)N[C@H]2C[C@H](c3cc(F)cc(F)c3)C2)C1 MolPort-046-637-582
C[C@@H](O)c1ccc(Oc2ccc(Br)cc2)c(F)c1 MolPort-011-759-043
Cc1cccc([C@H](C)NCc2ccc(C(=O)O)cc2)c1 MolPort-024-271-522
CC1COCC(c2ccc(SC(C)C)cc2)N1 MolPort-022-256-181
CSCCC(=O)N(C)Cc1cccc(Br)c1 MolPort-015-026-492
NC(=O)NC(C(=O)N1CCCCC1)c1ccccc1 MolPort-020-347-610
